Frame,Students,Chairs,Tables
0,3,2,0
5,3,1,0
10,3,1,0
15,3,1,0
20,3,0,0
25,4,1,0
30,4,0,0
35,4,1,0
40,4,0,0
45,5,0,0
50,5,0,0
55,5,0,0
60,5,1,0
65,5,1,0
70,5,1,1
75,5,1,1
80,5,3,1
85,5,3,1
90,5,2,0
95,7,2,0
100,7,3,0
105,7,3,0
110,7,3,0
115,7,1,0
120,7,1,0
125,7,1,0
130,6,1,0
135,7,1,0
140,7,1,0
145,7,1,0
150,7,2,0
155,7,2,0
160,7,1,0
165,8,1,0
170,8,0,1
175,6,0,1
180,8,1,1
185,8,0,1
190,8,0,1
195,8,0,0
200,8,1,1
205,8,1,1
210,7,1,0
215,7,1,0
220,6,1,0
225,6,1,0
230,6,0,0
235,6,0,0
240,7,0,0
245,8,0,0
250,6,1,0
255,6,1,0
260,8,1,0
265,7,2,0
270,8,2,0
275,6,1,0
280,7,2,0
